1,Новиков Богдан
1,Лапыгин Антон
1,Булатов Вадим
1-68,Борц Ларик
2,Зубко Дмитрий
3,Попов Егор
3-5,Малахов Алексей
3-9,Данюшевский Пётр
3-17,Рогозин Антон
4-5,Гребенщиков Леонид
5-17,Нащёкин Алексей
6,Смирнов Виктор
6-15,Ковалёв Александр
7,Телегин Антон
7-9,Обернихен Константин
7-15,Воронцов Денис
7-22,Ефремов Александр
8-9,Филиппов Александр
8-11,Сорокин Валентин
8-28,Клюйков Дмитрий
9-17,Воробьёв Петя
10-13,Абдулазизов Озод
10-68,Нестеренко Виталий
11-17,Овешников Андрей
12,Пинчук Сергей
13-23,Шунин Иван
15-19,Амирханов Артём
15-68,Сизякин Артём
16,Мухин Анатолий
16-19,Овсяников Денис
17,Иванов Алексей
18-19,Новикова Лилия
18-21,Чепрасов Дмитрий
19-35,Инина Марина
19-67,Рыжов Александр
19-68,Шурыгин Егор
19-68,Антонов Евгений
20-23,Павлов Алексей
21-24,Игнатов Владимир
22,Ларин Филипп
23-25,Литвиненко Антон
24-26,Дмитриев Павел
24-68,Леньшин Егор
24-68,Бушмакин Евгений
24-68,Володин Антон
25-68,Черноножкин Василий
27-29,Щербаков Григорий
28-30,Яник Пётр
28-68,Анвартдинов Тимур
29-68,Ярцев Александр
31,Ермолаев Алексей
31-32,Гришин Виктор
32-68,Смирнов Михаил
33,Смышляев Алексей
34,Привалов Денис
34-42,Николаев Денис
35-37,Гончаренко Сергей
36,Андреев Максим
37,Сергеев Влад
38,Селина Анна
38-40,Семёнов Олег
38-48,Никитин Сергей
39-41,Селин Станислав
40-68,Карташёв Дмитрий
40-68,Трескунов Игорь
41,Куклин Андрей
41-45,Малынич Александр
41-68,Леонов Антон
42-51,Елисеев Борис
42-68,Волков Кирилл
43-49,Колмаков Пётр
44-56,Малич Антон
44-57,Кравченко Зевс
45-49,Ратников Николай
46,Орловский Алексей
47,Ледовский Артур
47-68,Федин Пётр
48-68,Ельшевский Антон
50,Полевиков Александр
51,Дынников Савел
51-68,Макаров Ян
52,Зелянин Дмитрий
52-59,Мягги Константин
52-68,Ковшиков Тимофей
52-68,Димитров Максим
53-54,Пинчук Алексей
54-68,Максимов Владимир
56-65,Белоусов Николай
57,Старк Сергей
57-68,Сергеев Иван
58-61,Тихомиров Андрей
59-62,Иванов Максим
61-68,Шеляпин Антон
63,Гольцов Василий
64,Степанович Сергей
65-66,Гаврилов Андрей
66-68,Жигарёв Борис
68,Мамедов Искандер
