1,Новиков Богдан
1-2,Лапыгин Антон
2,Булатов Вадим
3,Борц Ларик
4,Зубко Дмитрий
4-9,Попов Егор
4-26,Малахов Алексей
5,Данюшевский Пётр
5,Сорокин Валентин
6,Воробьёв Петя
7,Абдулазизов Озод
7-19,Рогозин Антон
8,Гребенщиков Леонид
9,Нащёкин Алексей
10,Смирнов Виктор
10-12,Ковалёв Александр
10-27,Телегин Антон
10-30,Обернихен Константин
11-12,Воронцов Денис
12-36,Ефремов Александр
13,Филиппов Александр
14,Володин Антон
15,Черноножкин Василий
16,Щербаков Григорий
17,Нестеренко Виталий
18-26,Овешников Андрей
19-28,Мухин Анатолий
19-36,Овсяников Денис
20,Селин Станислав
21-22,Мамедов Искандер
21-23,Пинчук Сергей
21-50,Шунин Иван
22-41,Клюйков Дмитрий
23,Амирханов Артём
24,Сизякин Артём
25,Иванов Алексей
26,Новикова Лилия
27-28,Чепрасов Дмитрий
28,Инина Марина
29-31,Рыжов Александр
30-32,Шурыгин Егор
31-33,Антонов Евгений
32-34,Павлов Алексей
32-74,Игнатов Владимир
33-74,Ларин Филипп
33-74,Литвиненко Антон
35-37,Дмитриев Павел
35-40,Леньшин Егор
35-74,Бушмакин Евгений
36-38,Яник Пётр
37-38,Анвартдинов Тимур
39,Смышляев Алексей
40-74,Ярцев Александр
41-42,Ермолаев Алексей
41-74,Гришин Виктор
43,Смирнов Михаил
44,Привалов Денис
44-45,Николаев Денис
44-54,Елисеев Борис
45-47,Колмаков Пётр
46-47,Полевиков Александр
46-47,Гончаренко Сергей
46-74,Андреев Максим
47-74,Сергеев Влад
48-49,Селина Анна
48-57,Семёнов Олег
49-60,Никитин Сергей
49-74,Карташёв Дмитрий
50-56,Трескунов Игорь
51-52,Куклин Андрей
52-53,Малынич Александр
52-57,Леонов Антон
52-63,Волков Кирилл
52-64,Малич Антон
53-55,Кравченко Зевс
54,Ратников Николай
55-74,Орловский Алексей
56-58,Ледовский Артур
57-61,Федин Пётр
58-62,Ельшевский Антон
59-67,Дынников Савел
59-71,Макаров Ян
59-74,Зелянин Дмитрий
60-74,Мягги Константин
61-62,Ковшиков Тимофей
62-74,Димитров Максим
64,Пинчук Алексей
65,Максимов Владимир
66-68,Белоусов Николай
66-74,Старк Сергей
67-73,Сергеев Иван
67-74,Тихомиров Андрей
68-74,Иванов Максим
69,Шеляпин Антон
70,Гольцов Василий
71-72,Степанович Сергей
72-74,Гаврилов Андрей
74,Жигарёв Борис
